Sentence,Typicality,Rating,Item
The teacher explained the tactic.,AT,4.55,358
The teacher explained the exercise.,T,6.9,358
The teacher gave the drug.,AT,1.4,359
The teacher gave the homework.,T,6.85,359
The teacher helped the patient.,AT,1.95,360
The teacher helped the child.,T,6.1,360
The teacher lent the gun.,AT,1.85,361
The teacher lent the book.,T,6.15,361
The teacher used the knife.,AT,2.85,362
The teacher used the blackboard.,T,5.95,362
The teenager heard the lecture.,AT,4.65,363
The teenager heard the music.,T,6.4,363
The terrorist released the book.,AT,1.8,364
The terrorist released the hostage.,T,3.45,364
The thief grabbed the banana.,AT,3.7,365
The thief grabbed the money.,T,5,365
The tourist read the bible.,AT,3,366
The tourist read the map.,T,6.4,366
The tourist rode the skates.,AT,3.7,367
The tourist rode the camel.,T,4.55,367
The tourist visited the patient.,AT,3,368
The tourist visited the museum.,T,5.95,368
The traveller checked the groceries.,AT,4.2,369
The traveller checked the bag.,T,6,369
The traveller checked the team.,AT,3,370
The traveller checked the watch.,T,4.4,370
The traveller handed the screwdriver.,AT,2.1,371
The traveller handed the bag.,T,5.8,371
The truck hit the bag.,AT,3.1,372
The truck hit the car.,T,4,372
The truck plowed the garden.,AT,2.3,373
The truck plowed the snow.,T,4.65,373
The undertaker dug the trench.,AT,3.2,374
The undertaker dug the grave.,T,4.15,374
The usurer lent the toy.,AT,1.9,375
The usurer lent the money.,T,5.2,375
The vandal sprayed the perfume.,AT,1.85,376
The vandal sprayed the paint.,T,6.2,376
The veterinarian examined the plant.,AT,2.2,377
The veterinarian examined the dog.,T,6.85,377
The violinist played the trumpet.,AT,3,378
The violinist played the violin.,T,6.9,378
The violinist wore the helmet.,AT,3.05,379
The violinist wore the tuxedo.,T,5.9,379
The volunteer brought the hatchet.,AT,1.75,380
The volunteer brought the food.,T,6.1,380
The waiter brought the guitar.,AT,1.55,381
The waiter brought the glass.,T,6.8,381
The waiter carried the rifle.,AT,1.55,382
The waiter carried the tray.,T,6.35,382
The waiter cleared the road.,AT,2.9,383
The waiter cleared the bar.,T,6.05,383
The waiter cleared the tube.,AT,2.6,384
The waiter cleared the table.,T,6.25,384
The waiter cut the hair.,AT,1.45,385
The waiter cut the cake.,T,4.85,385
The waiter delivered the speech.,AT,1.6,386
The waiter delivered the drink.,T,6.35,386
The waiter fetched the ball.,AT,1.85,387
The waiter fetched the water.,T,6.2,387
The waiter held the flag.,AT,3.5,388
The waiter held the bottle.,T,6.15,388
The waiter mixed the cement.,AT,1.5,389
The waiter mixed the drink.,T,5.4,389
The waiter opened the sarcophagus.,AT,1.35,390
The waiter opened the bottle.,T,6.25,390
The waiter poured the gasoline.,AT,1.4,391
The waiter poured the wine.,T,6.6,391
The waiter prepared the bomb.,AT,1.1,392
The waiter prepared the drink.,T,6.4,392
The witness explained the equation.,AT,1.8,393
The witness explained the circumstances.,T,5.6,393
The witness reported the birth.,AT,2.4,394
The witness reported the crime.,T,6.4,394
The woman carried the stone.,AT,3.1,395
The woman carried the bag.,T,6.25,395
The woman opened the manhole.,AT,2.4,396
The woman opened the bag.,T,6.45,396
The woman painted the sign.,AT,3.55,397
The woman painted the toenail.,T,6.1,397
