,sentence,typicality,rating,subject/object
370,The journalist carried the milk.,AT,1.6,"['journalist', 'carry', 'milk']"
371,The journalist carried the article.,T,6.15,"['journalist', 'carry', 'article']"
372,The journalist wrote the song.,AT,1.9,"['journalist', 'write', 'song']"
373,The journalist wrote the article.,T,6.85,"['journalist', 'write', 'article']"
374,The killer pulled the cart.,AT,2.5,"['killer', 'pull', 'cart']"
375,The killer pulled the trigger.,T,6.6,"['killer', 'pull', 'trigger']"
376,The knight held the camera.,AT,2.0,"['knight', 'hold', 'camera']"
377,The knight held the sword.,T,6.5,"['knight', 'hold', 'sword']"
378,The librarian climbed the tree.,AT,1.8,"['librarian', 'climb', 'tree']"
379,The librarian climbed the ladder.,T,5.1,"['librarian', 'climb', 'ladder']"
380,The librarian stacked the supply.,AT,3.85,"['librarian', 'stack', 'supply']"
381,The librarian stacked the book.,T,6.5,"['librarian', 'stack', 'book']"
382,The lumberjack cut the meat.,AT,3.3,"['lumberjack', 'cut', 'meat']"
383,The lumberjack cut the tree.,T,6.55,"['lumberjack', 'cut', 'tree']"
384,The lumberjack stacked the book.,AT,2.2,"['lumberjack', 'stack', 'book']"
385,The lumberjack stacked the wood.,T,6.75,"['lumberjack', 'stack', 'wood']"
386,The lumberjack used the lancet.,AT,2.75,"['lumberjack', 'use', 'lancet']"
387,The lumberjack used the saw.,T,6.15,"['lumberjack', 'use', 'saw']"
388,The magician read the newspaper.,AT,4.0,"['magician', 'read', 'newspaper']"
389,The magician read the hand.,T,4.4,"['magician', 'read', 'hand']"
390,The manager rented the kayak.,AT,2.75,"['manager', 'rent', 'kayak']"
391,The manager rented the room.,T,3.65,"['manager', 'rent', 'room']"
392,The mason built the snowman.,AT,2.3,"['mason', 'build', 'snowman']"
393,The mason built the house.,T,6.45,"['mason', 'build', 'house']"
394,The mason fixed the bike.,AT,1.55,"['mason', 'fix', 'bike']"
395,The mason fixed the roof.,T,4.15,"['mason', 'fix', 'roof']"
396,The mason fixed the tire.,AT,3.25,"['mason', 'fix', 'tire']"
397,The mason fixed the wall.,T,6.15,"['mason', 'fix', 'wall']"
398,The mason mixed the soup.,AT,1.95,"['mason', 'mix', 'soup']"
399,The mason mixed the cement.,T,6.65,"['mason', 'mix', 'cement']"
400,The mechanic assembled the art.,AT,1.7,"['mechanic', 'assemble', 'art']"
401,The mechanic assembled the bicycle.,T,4.5,"['mechanic', 'assemble', 'bicycle']"
402,The mechanic checked the groceries.,AT,2.3,"['mechanic', 'check', 'groceries']"
403,The mechanic checked the tire.,T,6.7,"['mechanic', 'check', 'tire']"
404,The mechanic fixed the roof.,AT,2.1,"['mechanic', 'fix', 'roof']"
405,The mechanic fixed the tire.,T,6.45,"['mechanic', 'fix', 'tire']"
406,The mechanic rented the boat.,AT,2.35,"['mechanic', 'rent', 'boat']"
407,The mechanic rented the truck.,T,4.2,"['mechanic', 'rent', 'truck']"
408,The mechanic spread the chocolate.,AT,1.65,"['mechanic', 'spread', 'chocolate']"
409,The mechanic spread the coating.,T,3.65,"['mechanic', 'spread', 'coating']"
410,The milkman carried the flag.,AT,2.6,"['milkman', 'carry', 'flag']"
411,The milkman carried the bottle.,T,6.7,"['milkman', 'carry', 'bottle']"
412,The model faced the mountain.,AT,2.75,"['model', 'face', 'mountain']"
413,The model faced the camera.,T,6.9,"['model', 'face', 'camera']"
414,The monkey grabbed the board.,AT,2.15,"['monkey', 'grab', 'board']"
415,The monkey grabbed the banana.,T,6.15,"['monkey', 'grab', 'banana']"
416,The mother decorated the car.,AT,2.7,"['mother', 'decorate', 'car']"
417,The mother decorated the house.,T,6.45,"['mother', 'decorate', 'house']"
418,The mother held the flag.,AT,3.2,"['mother', 'hold', 'flag']"
419,The mother held the child.,T,6.9,"['mother', 'hold', 'child']"
420,The mother hung the rifle.,AT,2.35,"['mother', 'hang', 'rifle']"
421,The mother hung the laundry.,T,5.8,"['mother', 'hang', 'laundry']"
422,The mother prepared the gun.,AT,3.05,"['mother', 'prepare', 'gun']"
423,The mother prepared the food.,T,6.4,"['mother', 'prepare', 'food']"
424,The mother pushed the trash can.,AT,3.8,"['mother', 'push', 'trash']"
425,The mother pushed the stroller.,T,6.1,"['mother', 'push', 'stroller']"
426,The mover moved the horse.,AT,2.85,"['mover', 'move', 'horse']"
427,The mover moved the furniture.,T,4.9,"['mover', 'move', 'furniture']"
428,The musician entertained the demonstrator.,AT,4.2,"['musician', 'entertain', 'demonstrator']"
429,The musician entertained the crowd.,T,6.4,"['musician', 'entertain', 'crowd']"
430,The musician held the stone.,AT,1.6,"['musician', 'hold', 'stone']"
431,The musician held the guitar.,T,6.55,"['musician', 'hold', 'guitar']"
432,The musician played the soccer.,AT,1.95,"['musician', 'play', 'soccer']"
433,The musician played the song.,T,6.35,"['musician', 'play', 'song']"
434,The musician read the menu.,AT,2.45,"['musician', 'read', 'menu']"
435,The musician read the music.,T,6.35,"['musician', 'read', 'music']"
436,The musician touched the base.,AT,3.95,"['musician', 'touch', 'base']"
437,The musician touched the instrument.,T,6.4,"['musician', 'touch', 'instrument']"
438,The nanny heard the speech.,AT,3.2,"['nanny', 'hear', 'speech']"
439,The nanny heard the baby.,T,6.35,"['nanny', 'hear', 'baby']"
440,The nanny watched the landscape.,AT,4.05,"['nanny', 'watch', 'landscape']"
441,The nanny watched the child.,T,6.35,"['nanny', 'watch', 'child']"
442,The nurse handed the hose.,AT,2.35,"['nurse', 'hand', 'hose']"
443,The nurse handed the lancet.,T,5.8,"['nurse', 'hand', 'lancet']"
444,The nurse pushed the mower.,AT,1.45,"['nurse', 'push', 'mower']"
445,The nurse pushed the wheelchair.,T,5.9,"['nurse', 'push', 'wheelchair']"
446,The nurse washed the car.,AT,2.45,"['nurse', 'wash', 'car']"
447,The nurse washed the infant.,T,6.45,"['nurse', 'wash', 'infant']"
448,The painter completed the race.,AT,2.0,"['painter', 'complete', 'race']"
449,The painter completed the painting.,T,6.35,"['painter', 'complete', 'painting']"
450,The painter decorated the cake.,AT,2.6,"['painter', 'decorate', 'cake']"
451,The painter decorated the wall.,T,6.6,"['painter', 'decorate', 'wall']"
452,The painter mixed the drink.,AT,2.8,"['painter', 'mix', 'drink']"
453,The painter mixed the paint.,T,6.35,"['painter', 'mix', 'paint']"
454,The painter painted the toenail.,AT,2.45,"['painter', 'paint', 'toenail']"
455,The painter painted the picture.,T,6.7,"['painter', 'paint', 'picture']"
456,The painter signed the agreement.,AT,3.65,"['painter', 'sign', 'agreement']"
457,The painter signed the paint.,T,5.9,"['painter', 'sign', 'paint']"
458,The parent gave the gun.,AT,1.85,"['parent', 'give', 'gun']"
459,The parent gave the present.,T,5.7,"['parent', 'give', 'present']"
460,The passenger bought the table.,AT,2.25,"['passenger', 'buy', 'table']"
461,The passenger bought the ticket.,T,6.5,"['passenger', 'buy', 'ticket']"
462,The passenger passed the ball.,AT,2.05,"['passenger', 'pass', 'ball']"
463,The passenger passed the check.,T,3.75,"['passenger', 'pass', 'check']"
464,The passenger pulled the corpse.,AT,1.45,"['passenger', 'pull', 'corpse']"
465,The passenger pulled the suitcase.,T,5.6,"['passenger', 'pull', 'suitcase']"
466,The patient fought the fire.,AT,1.95,"['patient', 'fight', 'fire']"
467,The patient fought the cancer.,T,5.65,"['patient', 'fight', 'cancer']"
468,The patient reported the crime.,AT,2.25,"['patient', 'report', 'crime']"
469,The patient reported the symptom.,T,6.7,"['patient', 'report', 'symptom']"
470,The philologist examined the camera.,AT,2.3,"['philologist', 'examine', 'camera']"
471,The philologist examined the book.,T,6.2,"['philologist', 'examine', 'book']"
472,The photographer captured the thief.,AT,1.75,"['photographer', 'capture', 'thief']"
473,The photographer captured the image.,T,6.95,"['photographer', 'capture', 'image']"
474,The photographer examined the dog.,AT,1.75,"['photographer', 'examine', 'dog']"
475,The photographer examined the camera.,T,6.7,"['photographer', 'examine', 'camera']"
476,The photographer prepared the food.,AT,2.7,"['photographer', 'prepare', 'food']"
477,The photographer prepared the camera.,T,6.4,"['photographer', 'prepare', 'camera']"
478,The photographer used the stethoscope.,AT,1.75,"['photographer', 'use', 'stethoscope']"
479,The photographer used the camera.,T,6.65,"['photographer', 'use', 'camera']"
480,The pilot began the performance.,AT,2.4,"['pilot', 'begin', 'performance']"
481,The pilot began the race.,T,4.8,"['pilot', 'begin', 'race']"
482,The pilot started the concert.,AT,1.6,"['pilot', 'start', 'concert']"
483,The pilot started the race.,T,2.95,"['pilot', 'start', 'race']"
484,The pilot won the lottery.,AT,2.8,"['pilot', 'win', 'lottery']"
485,The pilot won the race.,T,4.8,"['pilot', 'win', 'race']"
486,The player began the class.,AT,3.3,"['player', 'begin', 'class']"
487,The player began the match.,T,5.7,"['player', 'begin', 'match']"
488,The player enjoyed the beer.,AT,4.5,"['player', 'enjoy', 'beer']"
489,The player enjoyed the game.,T,6.65,"['player', 'enjoy', 'game']"
490,The player gained the degree.,AT,3.2,"['player', 'gain', 'degree']"
491,The player gained the ball.,T,5.45,"['player', 'gain', 'ball']"
492,The player gathered the grass.,AT,2.4,"['player', 'gather', 'grass']"
493,The player gathered the ball.,T,5.55,"['player', 'gather', 'ball']"
494,The player passed the exam.,AT,4.45,"['player', 'pass', 'exam']"
495,The player passed the ball.,T,6.4,"['player', 'pass', 'ball']"
496,The player reached the moon.,AT,1.6,"['player', 'reach', 'moon']"
497,The player reached the goal.,T,6.45,"['player', 'reach', 'goal']"
498,The player touched the flower.,AT,1.7,"['player', 'touch', 'flower']"
499,The player touched the base.,T,5.5,"['player', 'touch', 'base']"
500,The poet wrote the menu.,AT,1.75,"['poet', 'write', 'menu']"
501,The poet wrote the sonet.,T,5.8,"['poet', 'write', 'sonet']"
502,The policeman captured the image.,AT,2.9,"['policeman', 'capture', 'image']"
503,The policeman captured the thief.,T,6.8,"['policeman', 'capture', 'thief']"
504,The policeman checked the groceries.,AT,2.0,"['policeman', 'check', 'groceries']"
505,The policeman checked the bag.,T,5.55,"['policeman', 'check', 'bag']"
506,The policeman examined the patient.,AT,2.0,"['policeman', 'examine', 'patient']"
507,The policeman examined the car.,T,5.95,"['policeman', 'examine', 'car']"
508,The policeman fought the obesity.,AT,2.35,"['policeman', 'fight', 'obesity']"
509,The policeman fought the crime.,T,6.4,"['policeman', 'fight', 'crime']"
510,The policeman hit the ball.,AT,2.7,"['policeman', 'hit', 'ball']"
511,The policeman hit the demonstrator.,T,4.75,"['policeman', 'hit', 'demonstrator']"
512,The policeman pushed the stroller.,AT,2.6,"['policeman', 'push', 'stroller']"
513,The policeman pushed the demonstrator.,T,4.6,"['policeman', 'push', 'demonstrator']"
514,The politician signed the paint.,AT,2.25,"['politician', 'sign', 'paint']"
515,The politician signed the agreement.,T,6.35,"['politician', 'sign', 'agreement']"
516,The porter carried the flag.,AT,2.65,"['porter', 'carry', 'flag']"
517,The porter carried the bag.,T,5.1,"['porter', 'carry', 'bag']"
518,The porter loaded the file.,AT,2.8,"['porter', 'load', 'file']"
519,The porter loaded the luggage.,T,6.5,"['porter', 'load', 'luggage']"
520,The porter stacked the wood.,AT,4.0,"['porter', 'stack', 'wood']"
521,The porter stacked the suitcase.,T,5.5,"['porter', 'stack', 'suitcase']"
522,The postman delivered the punch.,AT,2.7,"['postman', 'deliver', 'punch']"
523,The postman delivered the mail.,T,6.55,"['postman', 'deliver', 'mail']"
524,The president delivered the kick.,AT,2.9,"['president', 'deliver', 'kick']"
525,The president delivered the speech.,T,6.8,"['president', 'deliver', 'speech']"
526,The president gave the book.,AT,3.75,"['president', 'give', 'book']"
527,The president gave the speech.,T,6.8,"['president', 'give', 'speech']"
528,The president promised the bicycle.,AT,2.25,"['president', 'promise', 'bicycle']"
529,The president promised the reform.,T,6.2,"['president', 'promise', 'reform']"
530,The president visited the grandmother.,AT,4.45,"['president', 'visit', 'grandmother']"
531,The president visited the school.,T,4.25,"['president', 'visit', 'school']"
532,The priest celebrated the graduation.,AT,3.85,"['priest', 'celebrate', 'graduation']"
533,The priest celebrated the marriage.,T,6.5,"['priest', 'celebrate', 'marriage']"
534,The priest promised the promotion.,AT,2.2,"['priest', 'promise', 'promotion']"
535,The priest promised the salvation.,T,6.05,"['priest', 'promise', 'salvation']"
536,The priest taught the chemistry.,AT,1.85,"['priest', 'teach', 'chemistry']"
537,The priest taught the bible.,T,6.8,"['priest', 'teach', 'bible']"
538,The producer released the prisoner.,AT,1.6,"['producer', 'release', 'prisoner']"
539,The producer released the film.,T,6.3,"['producer', 'release', 'film']"
540,The professor delivered the kick.,AT,1.65,"['professor', 'deliver', 'kick']"
541,The professor delivered the lecture.,T,6.6,"['professor', 'deliver', 'lecture']"
542,The professor donated the organ.,AT,2.35,"['professor', 'donate', 'organ']"
543,The professor donated the book.,T,4.8,"['professor', 'donate', 'book']"
544,The professor opened the jail.,AT,1.2,"['professor', 'open', 'jail']"
545,The professor opened the congress.,T,3.0,"['professor', 'open', 'congress']"
546,The professor taught the karate.,AT,3.25,"['professor', 'teach', 'karate']"
547,The professor taught the language.,T,6.0,"['professor', 'teach', 'language']"
548,The professor wore the goggles.,AT,4.7,"['professor', 'wear', 'goggles']"
549,The professor wore the tie.,T,5.95,"['professor', 'wear', 'tie']"
550,The professor wrote the magazine.,AT,3.6,"['professor', 'write', 'magazine']"
551,The professor wrote the book.,T,5.5,"['professor', 'write', 'book']"
552,The programmer described the monument.,AT,2.95,"['programmer', 'describe', 'monument']"
553,The programmer described the software.,T,5.55,"['programmer', 'describe', 'software']"
554,The programmer loaded the ammunition.,AT,1.75,"['programmer', 'load', 'ammunition']"
555,The programmer loaded the file.,T,6.65,"['programmer', 'load', 'file']"
556,The programmer used the shovel.,AT,3.15,"['programmer', 'use', 'shovel']"
557,The programmer used the computer.,T,7.0,"['programmer', 'use', 'computer']"
558,The pupil drew the turbine.,AT,2.95,"['pupil', 'draw', 'turbine']"
559,The pupil drew the flower.,T,4.85,"['pupil', 'draw', 'flower']"
560,The pusher sold the chocolate.,AT,3.0,"['pusher', 'sell', 'chocolate']"
561,The pusher sold the drug.,T,5.85,"['pusher', 'sell', 'drug']"
562,The pyromaniac started the computer.,AT,1.8,"['pyromaniac', 'start', 'computer']"
563,The pyromaniac started the fire.,T,6.2,"['pyromaniac', 'start', 'fire']"
564,The receiver caught the wave.,AT,2.05,"['receiver', 'catch', 'wave']"
565,The receiver caught the baseball.,T,4.75,"['receiver', 'catch', 'baseball']"
566,The referee moved the furniture.,AT,1.7,"['referee', 'move', 'furniture']"
567,The referee moved the ball.,T,5.05,"['referee', 'move', 'ball']"
568,The refugee found the doll.,AT,3.15,"['refugee', 'find', 'doll']"
569,The refugee found the shelter.,T,6.0,"['refugee', 'find', 'shelter']"
570,The reporter brought the cake.,AT,1.85,"['reporter', 'bring', 'cake']"
571,The reporter brought the news.,T,6.8,"['reporter', 'bring', 'news']"
572,The reporter held the knife.,AT,1.85,"['reporter', 'hold', 'knife']"
573,The reporter held the camera.,T,4.5,"['reporter', 'hold', 'camera']"
574,The roofer climbed the rock.,AT,2.15,"['roofer', 'climb', 'rock']"
575,The roofer climbed the ladder.,T,6.6,"['roofer', 'climb', 'ladder']"
576,The sailor faced the wall.,AT,2.1,"['sailor', 'face', 'wall']"
577,The sailor faced the ocean.,T,6.75,"['sailor', 'face', 'ocean']"
578,The sailor mopped the classroom.,AT,3.2,"['sailor', 'mop', 'classroom']"
579,The sailor mopped the deck.,T,4.6,"['sailor', 'mop', 'deck']"
580,The sailor tied the necktie.,AT,3.5,"['sailor', 'tie', 'necktie']"
581,The sailor tied the rope.,T,6.25,"['sailor', 'tie', 'rope']"
582,The salesperson sent the gun.,AT,2.3,"['salesperson', 'send', 'gun']"
583,The salesperson sent the questionnaire.,T,3.45,"['salesperson', 'send', 'questionnaire']"
584,The scientist reported the marriage.,AT,1.65,"['scientist', 'report', 'marriage']"
585,The scientist reported the finding.,T,6.4,"['scientist', 'report', 'finding']"
586,The scoutmaster assembled the sailboat.,AT,4.25,"['scoutmaster', 'assemble', 'sailboat']"
587,The scoutmaster assembled the tent.,T,4.7,"['scoutmaster', 'assemble', 'tent']"
588,The sculptor carved the meat.,AT,2.45,"['sculptor', 'carve', 'meat']"
589,The sculptor carved the stone.,T,5.55,"['sculptor', 'carve', 'stone']"
590,The sculptor taught the skydiving.,AT,1.15,"['sculptor', 'teach', 'skydiving']"
591,The sculptor taught the art.,T,5.85,"['sculptor', 'teach', 'art']"
592,The secretary wrote the sonet.,AT,3.55,"['secretary', 'write', 'sonet']"
593,The secretary wrote the note.,T,6.45,"['secretary', 'write', 'note']"
594,The sergeant assigned the homework.,AT,2.3,"['sergeant', 'assign', 'homework']"
595,The sergeant assigned the mission.,T,6.6,"['sergeant', 'assign', 'mission']"
596,The singer began the race.,AT,3.4,"['singer', 'begin', 'race']"
597,The singer began the performance.,T,6.5,"['singer', 'begin', 'performance']"
598,The singer held the sword.,AT,1.5,"['singer', 'hold', 'sword']"
599,The singer held the microphone.,T,6.55,"['singer', 'hold', 'microphone']"
600,The singer performed the trick.,AT,2.0,"['singer', 'perform', 'trick']"
601,The singer performed the music.,T,6.7,"['singer', 'perform', 'music']"
602,The singer recorded the recipe.,AT,1.65,"['singer', 'record', 'recipe']"
603,The singer recorded the song.,T,6.8,"['singer', 'record', 'song']"
604,The singer started the videogame.,AT,3.2,"['singer', 'start', 'videogame']"
605,The singer started the concert.,T,5.4,"['singer', 'start', 'concert']"
606,The skater rode the bus.,AT,3.9,"['skater', 'ride', 'bus']"
607,The skater rode the skates.,T,6.25,"['skater', 'ride', 'skates']"
608,The skier gained the ball.,AT,2.05,"['skier', 'gain', 'ball']"
609,The skier gained the speed.,T,6.75,"['skier', 'gain', 'speed']"
610,The skipper assembled the bicycle.,AT,2.15,"['skipper', 'assemble', 'bicycle']"
611,The skipper assembled the sailboat.,T,3.8,"['skipper', 'assemble', 'sailboat']"
612,The smuggler sold the flower.,AT,2.4,"['smuggler', 'sell', 'flower']"
613,The smuggler sold the weapon.,T,6.5,"['smuggler', 'sell', 'weapon']"
614,The snowboarder flipped the bike.,AT,3.45,"['snowboarder', 'flip', 'bike']"
615,The snowboarder flipped the board.,T,6.6,"['snowboarder', 'flip', 'board']"
616,The soldier carried the ball.,AT,1.7,"['soldier', 'carry', 'ball']"
617,The soldier carried the rifle.,T,7.0,"['soldier', 'carry', 'rifle']"
618,The soldier celebrated the graduation.,AT,3.9,"['soldier', 'celebrate', 'graduation']"
619,The soldier celebrated the victory.,T,5.2,"['soldier', 'celebrate', 'victory']"
620,The soldier checked the burner.,AT,2.2,"['soldier', 'check', 'burner']"
621,The soldier checked the rifle.,T,6.85,"['soldier', 'check', 'rifle']"
622,The soldier crossed the stage.,AT,2.45,"['soldier', 'cross', 'stage']"
623,The soldier crossed the river.,T,4.5,"['soldier', 'cross', 'river']"
624,The soldier dug the pool.,AT,2.5,"['soldier', 'dig', 'pool']"
625,The soldier dug the trench.,T,5.15,"['soldier', 'dig', 'trench']"
626,The soldier fought the cancer.,AT,3.1,"['soldier', 'fight', 'cancer']"
627,The soldier fought the enemy.,T,5.95,"['soldier', 'fight', 'enemy']"
628,The soldier gathered the ball.,AT,1.75,"['soldier', 'gather', 'ball']"
629,The soldier gathered the ammunition.,T,6.25,"['soldier', 'gather', 'ammunition']"
630,The soldier gathered the grass.,AT,2.75,"['soldier', 'gather', 'grass']"
631,The soldier gathered the flag.,T,4.7,"['soldier', 'gather', 'flag']"
632,The soldier heard the poem.,AT,3.1,"['soldier', 'hear', 'poem']"
633,The soldier heard the command.,T,6.1,"['soldier', 'hear', 'command']"
634,The soldier held the comb.,AT,3.65,"['soldier', 'hold', 'comb']"
635,The soldier held the flag.,T,5.2,"['soldier', 'hold', 'flag']"
636,The soldier hung the picture.,AT,3.2,"['soldier', 'hang', 'picture']"
637,The soldier hung the rifle.,T,5.8,"['soldier', 'hang', 'rifle']"
638,The soldier reached the supermarket.,AT,3.0,"['soldier', 'reach', 'supermarket']"
639,The soldier reached the trench.,T,6.25,"['soldier', 'reach', 'trench']"
640,The soldier released the film.,AT,1.9,"['soldier', 'release', 'film']"
641,The soldier released the prisoner.,T,4.3,"['soldier', 'release', 'prisoner']"
642,The soldier threw the ball.,AT,2.3,"['soldier', 'throw', 'ball']"
643,The soldier threw the bomb.,T,5.55,"['soldier', 'throw', 'bomb']"
644,The soldier threw the snowball.,AT,1.8,"['soldier', 'throw', 'snowball']"
645,The soldier used the brush.,AT,3.8,"['soldier', 'use', 'brush']"
646,The soldier used the knife.,T,5.05,"['soldier', 'use', 'knife']"
647,The soldier wore the jeans.,AT,3.85,"['soldier', 'wear', 'jeans']"
648,The soldier wore the helmet.,T,6.5,"['soldier', 'wear', 'helmet']"
649,The soldier wore the pajamas.,AT,3.5,"['soldier', 'wear', 'pajamas']"
650,The soldier wore the uniform.,T,6.9,"['soldier', 'wear', 'uniform']"
651,The speaker entertained the dog.,AT,3.15,"['speaker', 'entertain', 'dog']"
652,The speaker entertained the audience.,T,5.9,"['speaker', 'entertain', 'audience']"
653,The spectator bought the car.,AT,2.8,"['spectator', 'buy', 'car']"
654,The spectator bought the ticket.,T,6.45,"['spectator', 'buy', 'ticket']"
655,The spectator enjoyed the breakfast.,AT,4.25,"['spectator', 'enjoy', 'breakfast']"
656,The spectator enjoyed the game.,T,6.05,"['spectator', 'enjoy', 'game']"
657,The spectator heard the horn.,AT,4.75,"['spectator', 'hear', 'horn']"
658,The spectator heard the speech.,T,4.4,"['spectator', 'hear', 'speech']"
659,The spectator watched the bird.,AT,5.25,"['spectator', 'watch', 'bird']"
660,The spectator watched the game.,T,6.6,"['spectator', 'watch', 'game']"
661,The speleologist examined the book.,AT,3.65,"['speleologist', 'examine', 'book']"
662,The speleologist examined the cave.,T,6.0,"['speleologist', 'examine', 'cave']"
663,The spy passed the frisbee.,AT,1.55,"['spy', 'pass', 'frisbee']"
664,The spy passed the information.,T,6.35,"['spy', 'pass', 'information']"
665,The student began the match.,AT,3.5,"['student', 'begin', 'match']"
666,The student began the trip.,T,3.5,"['student', 'begin', 'trip']"
667,The student celebrated the marriage.,AT,3.45,"['student', 'celebrate', 'marriage']"
668,The student celebrated the graduation.,T,6.7,"['student', 'celebrate', 'graduation']"
669,The student completed the marathon.,AT,3.65,"['student', 'complete', 'marathon']"
670,The student completed the project.,T,5.9,"['student', 'complete', 'project']"
671,The student drank the gasoline.,AT,1.6,"['student', 'drink', 'gasoline']"
672,The student drank the beer.,T,4.6,"['student', 'drink', 'beer']"
673,The student drank the milk.,AT,4.9,"['student', 'drink', 'milk']"
674,The student drank the coffee.,T,4.95,"['student', 'drink', 'coffee']"
675,The student enjoyed the marriage.,AT,3.6,"['student', 'enjoy', 'marriage']"
676,The student enjoyed the beer.,T,4.7,"['student', 'enjoy', 'beer']"
677,The student heard the command.,AT,4.45,"['student', 'hear', 'command']"
678,The student heard the lecture.,T,6.75,"['student', 'hear', 'lecture']"
679,The student passed the river.,AT,2.95,"['student', 'pass', 'river']"
680,The student passed the exam.,T,6.35,"['student', 'pass', 'exam']"
681,The student read the hand.,AT,2.4,"['student', 'read', 'hand']"
682,The student read the book.,T,6.6,"['student', 'read', 'book']"
683,The student sent the bomb.,AT,1.2,"['student', 'send', 'bomb']"
684,The student sent the email.,T,6.1,"['student', 'send', 'email']"
685,The student threw the garbage.,AT,3.25,"['student', 'throw', 'garbage']"
686,The student threw the frisbee.,T,4.7,"['student', 'throw', 'frisbee']"
687,The student used the saw.,AT,2.9,"['student', 'use', 'saw']"
688,The student used the computer.,T,6.35,"['student', 'use', 'computer']"
689,The student wore the armor.,AT,3.05,"['student', 'wear', 'armor']"
690,The student wore the glasses.,T,5.775,"['student', 'wear', 'glasses']"
691,The student wore the harness.,AT,2.15,"['student', 'wear', 'harness']"
692,The surfer caught the baseball.,AT,1.75,"['surfer', 'catch', 'baseball']"
693,The surfer caught the wave.,T,7.0,"['surfer', 'catch', 'wave']"
694,The surfer flipped the pancake.,AT,2.55,"['surfer', 'flip', 'pancake']"
695,The surfer flipped the board.,T,5.0,"['surfer', 'flip', 'board']"
696,The surfer grabbed the frisbee.,AT,3.45,"['surfer', 'grab', 'frisbee']"
697,The surfer grabbed the board.,T,5.3,"['surfer', 'grab', 'board']"
698,The surfer rode the camel.,AT,1.45,"['surfer', 'ride', 'camel']"
699,The surfer rode the wave.,T,6.2,"['surfer', 'ride', 'wave']"
700,The surfer wore the tie.,AT,2.0,"['surfer', 'wear', 'tie']"
701,The surfer wore the sunglasses.,T,5.95,"['surfer', 'wear', 'sunglasses']"
702,The surfer wore the tuxedo.,AT,2.1,"['surfer', 'wear', 'tuxedo']"
703,The surfer wore the swimsuit.,T,6.25,"['surfer', 'wear', 'swimsuit']"
704,The surgeon examined the car.,AT,1.2,"['surgeon', 'examine', 'car']"
705,The surgeon examined the patient.,T,6.05,"['surgeon', 'examine', 'patient']"
706,The surgeon performed the dance.,AT,2.4,"['surgeon', 'perform', 'dance']"
707,The surgeon performed the surgery.,T,6.85,"['surgeon', 'perform', 'surgery']"
708,The surgeon used the rifle.,AT,1.9,"['surgeon', 'use', 'rifle']"
709,The surgeon used the lancet.,T,4.95,"['surgeon', 'use', 'lancet']"
710,The sweeper cleaned the window.,AT,3.9,"['sweeper', 'clean', 'window']"
711,The sweeper cleaned the street.,T,6.5,"['sweeper', 'clean', 'street']"
712,The swimmer wore the cloak.,AT,3.1,"['swimmer', 'wear', 'cloak']"
713,The swimmer wore the goggles.,T,6.2,"['swimmer', 'wear', 'goggles']"
714,The tailor sewed the wound.,AT,1.6,"['tailor', 'sew', 'wound']"
715,The tailor sewed the dress.,T,6.55,"['tailor', 'sew', 'dress']"
716,The teacher explained the tactic.,AT,4.55,"['teacher', 'explain', 'tactic']"
717,The teacher explained the exercise.,T,6.9,"['teacher', 'explain', 'exercise']"
718,The teacher gave the drug.,AT,1.4,"['teacher', 'give', 'drug']"
719,The teacher gave the homework.,T,6.85,"['teacher', 'give', 'homework']"
720,The teacher helped the patient.,AT,1.95,"['teacher', 'help', 'patient']"
721,The teacher helped the child.,T,6.1,"['teacher', 'help', 'child']"
722,The teacher lent the gun.,AT,1.85,"['teacher', 'lend', 'gun']"
723,The teacher lent the book.,T,6.15,"['teacher', 'lend', 'book']"
724,The teacher used the knife.,AT,2.85,"['teacher', 'use', 'knife']"
725,The teacher used the blackboard.,T,5.95,"['teacher', 'use', 'blackboard']"
726,The teenager heard the lecture.,AT,4.65,"['teenager', 'hear', 'lecture']"
727,The teenager heard the music.,T,6.4,"['teenager', 'hear', 'music']"
728,The terrorist released the book.,AT,1.8,"['terrorist', 'release', 'book']"
729,The terrorist released the hostage.,T,3.45,"['terrorist', 'release', 'hostage']"
730,The thief grabbed the banana.,AT,3.7,"['thief', 'grab', 'banana']"
731,The thief grabbed the money.,T,5.0,"['thief', 'grab', 'money']"
732,The tourist read the bible.,AT,3.0,"['tourist', 'read', 'bible']"
733,The tourist read the map.,T,6.4,"['tourist', 'read', 'map']"
734,The tourist rode the skates.,AT,3.7,"['tourist', 'ride', 'skates']"
735,The tourist rode the camel.,T,4.55,"['tourist', 'ride', 'camel']"
736,The tourist visited the patient.,AT,3.0,"['tourist', 'visit', 'patient']"
737,The tourist visited the museum.,T,5.95,"['tourist', 'visit', 'museum']"
738,The traveller checked the groceries.,AT,4.2,"['traveller', 'check', 'groceries']"
739,The traveller checked the bag.,T,6.0,"['traveller', 'check', 'bag']"
740,The traveller checked the team.,AT,3.0,"['traveller', 'check', 'team']"
741,The traveller checked the watch.,T,4.4,"['traveller', 'check', 'watch']"
742,The traveller handed the screwdriver.,AT,2.1,"['traveller', 'hand', 'screwdriver']"
743,The traveller handed the bag.,T,5.8,"['traveller', 'hand', 'bag']"
744,The truck hit the bag.,AT,3.1,"['truck', 'hit', 'bag']"
