ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType,Subject,Object,Verb,Paired,is_globsem,in_olddata
240,Active,Plausible,The shrink commended the dean.,The shrink commended the dean.,AAR,shrink,dean,commended,True,False,True
241,Active,Plausible,The psychiatrist applauded the provost.,The psychiatrist applauded the provost.,AAR,psychiatrist,provost,applauded,True,False,True
242,Active,Plausible,The refugee provoked the homeless.,The homeless person was provoked by the refugee.,AAR,refugee,homeless,provoked,True,False,False
243,Active,Plausible,The asylum goaded the vagrant.,The vagrant was goaded by the asylum seeker.,AAR,asylum,vagrant,goaded,True,False,False
244,Active,Plausible,The interpreter swindled the messenger.,The interpreter swindled the messenger.,AAR,interpreter,messenger,swindled,True,False,True
245,Active,Plausible,The translator deceived the courier.,The translator deceived the courier.,AAR,translator,courier,deceived,True,False,True
246,Active,Plausible,The gangster hated the governor.,The governor was hated by the gangster.,AAR,gangster,governor,hated,True,False,True
247,Active,Plausible,The hoodlum abhorred the chancellor.,The chancellor was abhorred by the hoodlum.,AAR,hoodlum,chancellor,abhorred,True,False,True
248,Active,Plausible,The planner convinced the customer.,The planner convinced the customer.,AAR,planner,customer,convinced,True,False,True
249,Active,Plausible,The organizer persuaded the buyer.,The organizer persuaded the buyer.,AAR,organizer,buyer,persuaded,True,False,True
250,Active,Plausible,The wizard protected the gnome.,The gnome was protected by the wizard.,AAR,wizard,gnome,protected,True,False,True
251,Active,Plausible,The sorcerer defended the dwarf.,The dwarf was defended by the sorcerer.,AAR,sorcerer,dwarf,defended,True,False,True
252,Active,Plausible,The student befuddled the professor.,The professor was befuddled by the student.,AAR,student,professor,befuddled,True,False,True
253,Active,Plausible,The scholar confused the lecturer.,The lecturer was confused by the scholar.,AAR,scholar,lecturer,confused,True,False,True
254,Active,Plausible,The invader spotted the sentry.,The invader spotted the sentry.,AAR,invader,sentry,spotted,True,False,True
255,Active,Plausible,The intruder sighted the watchman.,The intruder sighted the watchman.,AAR,intruder,watchman,sighted,True,False,True
256,Active,Plausible,The supplier reimbursed the merchant.,The merchant was reimbursed by the supplier.,AAR,supplier,merchant,reimbursed,True,False,True
257,Active,Plausible,The wholesaler compensated the trader.,The trader was compensated by the wholesaler.,AAR,wholesaler,trader,compensated,True,False,True
258,Active,Plausible,The accuser confronted the vandal.,The accuser confronted the vandal.,AAR,accuser,vandal,confronted,True,False,True
259,Active,Plausible,The plaintiff accosted the thug.,The plaintiff accosted the thug.,AAR,plaintiff,thug,accosted,True,False,True
260,Active,Plausible,The trickster bemused the idiot.,The idiot was bemused by the trickster.,AAR,trickster,idiot,bemused,True,False,True
261,Active,Plausible,The swindler puzzled the fool.,The fool was puzzled by the swindler.,AAR,swindler,fool,puzzled,True,False,True
262,Active,Plausible,The protestor quoted the leader.,The protestor quoted the leader.,AAR,protestor,leader,quoted,True,False,True
263,Active,Plausible,The striker cited the chief.,The striker cited the chief.,AAR,striker,chief,cited,True,False,True
264,Active,Plausible,The worker repulsed the taxi-driver.,The taxi-driver was repulsed by the postal worker.,AAR,worker,taxi-driver,repulsed,True,False,False
265,Active,Plausible,The carrier disgusted the cabbie.,The cabbie was disgusted by the letter carrier.,AAR,carrier,cabbie,disgusted,True,False,False
266,Active,Plausible,The competitor agitated the rival.,The competitor agitated his rival.,AAR,competitor,rival,agitated,True,False,False
267,Active,Plausible,The contender flustered the opponent.,The contender flustered his opponent.,AAR,contender,opponent,flustered,True,False,False
268,Active,Plausible,The officer alerted the authorities.,The authorities were alerted by the officer.,AAR,officer,authorities,alerted,True,False,True
269,Active,Plausible,The deputy notified the higher-ups.,The higher-ups were notified by the deputy.,AAR,deputy,higher-ups,notified,True,False,True
270,Active,Plausible,The culprit betrayed the hunter.,The culprit betrayed the hunter.,AAR,culprit,hunter,betrayed,False,False,True
271,Active,Plausible,The botanist respected the partner.,The partner was respected by the botanist.,AAR,botanist,partner,respected,True,False,True
272,Active,Plausible,The flora esteemed the collaborator.,The collaborator was esteemed by the flora specialist.,AAR,flora,collaborator,esteemed,True,False,False
273,Active,Plausible,The pacifist placated the zealot.,The pacifist placated the zealot.,AAR,pacifist,zealot,placated,True,False,True
274,Active,Plausible,The peace-lover mollified the fanatic.,The peace-lover mollified the fanatic.,AAR,peace-lover,fanatic,mollified,True,False,True
275,Active,Plausible,The scoundrel beat the protagonist.,The protagonist was beaten by the scoundrel.,AAR,scoundrel,protagonist,beat,True,False,True
276,Active,Plausible,The rogue defeated the character.,The main character was defeated by the rogue.,AAR,rogue,character,defeated,True,False,False
277,Active,Plausible,The sociologist accepted the offer.,The sociologist accepted the offer.,AI,sociologist,offer,accepted,False,False,True
278,Active,Plausible,The boyfriend basted the turkey.,The turkey was basted by the boyfriend.,AI,boyfriend,turkey,basted,False,False,True
279,Active,Plausible,The caseworker posed the question.,The caseworker posed the question.,AI,caseworker,question,posed,False,False,True
280,Active,Plausible,The ditchdigger bent the wire.,The wire was bent by the ditch digger.,AI,ditchdigger,wire,bent,False,False,False
281,Active,Plausible,The box-office sold the tickets.,The box-office sold the tickets.,AI,box-office,tickets,sold,False,False,True
282,Active,Plausible,The uncle hung the ornament.,The ornament was hung by the uncle.,AI,uncle,ornament,hung,False,False,True
283,Active,Plausible,The attendant pressed the button.,The attendant pressed the button.,AI,attendant,button,pressed,False,False,True
284,Active,Plausible,The bum stole the necklace.,The necklace was stolen by the bum.,AI,bum,necklace,stole,False,False,True
285,Active,Plausible,The potter molded the clay.,The potter molded the clay.,AI,potter,clay,molded,False,False,True
286,Active,Plausible,The guarantor initialed the form.,The form was initialed by the guarantor.,AI,guarantor,form,initialed,False,False,True
287,Active,Plausible,The couch-potato forgot the umbrella.,The couch-potato forgot the umbrella.,AI,couch-potato,umbrella,forgot,False,False,True
288,Active,Plausible,The groupie attended the concert.,The concert was attended by the groupie.,AI,groupie,concert,attended,False,False,True
289,Active,Plausible,The hacker memorized the password.,The hacker memorized the password.,AI,hacker,password,memorized,False,False,True
290,Active,Plausible,The marine packed the bag.,The bag was packed by the marine.,AI,marine,bag,packed,False,False,True
291,Active,Plausible,The counselor emphasized the rules.,The counselor emphasized the rules.,AI,counselor,rules,emphasized,False,False,True
292,Active,Plausible,The seamstress ironed the shirt.,The shirt was ironed by the seamstress.,AI,seamstress,shirt,ironed,False,False,True
293,Active,Plausible,The confectioner sprinkled the sugar.,The confectioner sprinkled the sugar.,AI,confectioner,sugar,sprinkled,False,False,True
294,Active,Plausible,The voter sealed the envelope.,The envelope was sealed by the voter.,AI,voter,envelope,sealed,False,False,True
295,Active,Plausible,The fisherman emptied the trashcan.,The fisherman emptied the trashcan.,AI,fisherman,trashcan,emptied,False,False,True
296,Active,Plausible,The cellist received the prize.,The prize was received by the cellist.,AI,cellist,prize,received,False,False,True
297,Active,Plausible,The cheapskate rated the service.,The cheapskate rated the service.,AI,cheapskate,service,rated,False,False,True
298,Active,Plausible,The schoolgirl borrowed the key.,The key was borrowed by the schoolgirl.,AI,schoolgirl,key,borrowed,False,False,True
299,Active,Plausible,The bookworm recited the poem.,The bookworm recited the poem.,AI,bookworm,poem,recited,False,False,True
300,Active,Plausible,The diver recharged the battery.,The battery was recharged by the diver.,AI,diver,battery,recharged,False,False,True
301,Active,Plausible,The poker won the game.,The poker player won the game.,AI,poker,game,won,False,False,False
302,Active,Plausible,The copycat redecorated the apartment.,The apartment was redecorated by the copycat.,AI,copycat,apartment,redecorated,False,False,True
303,Active,Plausible,The winemaker uncorked the bottle.,The winemaker uncorked the bottle.,AI,winemaker,bottle,uncorked,False,False,True
304,Active,Plausible,The laundress folded the clothes.,The clothes were folded by the laundress.,AI,laundress,clothes,folded,False,False,True
305,Active,Plausible,The travel-agent photocopied the passport.,The travel-agent photocopied the passport.,AI,travel-agent,passport,photocopied,False,False,True
306,Active,Plausible,The exterminator filed the complaint.,The complaint was filed by the exterminator.,AI,exterminator,complaint,filed,False,False,True
307,Active,Plausible,The minuteman loaded the gun.,The minuteman loaded the gun.,AI,minuteman,gun,loaded,False,False,True
308,Active,Plausible,The bookseller calculated the profit.,The profit was calculated by the bookseller.,AI,bookseller,profit,calculated,False,False,True
309,Active,Plausible,The count inherited the painting.,The count inherited the painting.,AI,count,painting,inherited,False,False,True
310,Active,Plausible,The groundskeeper changed the lightbulb.,The light bulb was changed by the groundskeeper.,AI,groundskeeper,lightbulb,changed,False,False,False
311,Active,Plausible,The marcher sang the anthem.,The marcher sang the anthem.,AI,marcher,anthem,sang,False,False,True
312,Active,Plausible,The deckhand unlocked the door.,The door was unlocked by the deckhand.,AI,deckhand,door,unlocked,False,False,True
313,Active,Plausible,The supremacist established the fund.,The supremacist established the fund.,AI,supremacist,fund,established,False,False,True
314,Active,Plausible,The housesitter watered the plant.,The plant was watered by the house sitter.,AI,housesitter,plant,watered,False,False,False
315,Active,Plausible,The interviewee wrinkled the suit.,The interviewee wrinkled the suit.,AI,interviewee,suit,wrinkled,False,False,True
316,Active,Plausible,The cryptographer sent the letter.,The letter was sent by the cryptographer.,AI,cryptographer,letter,sent,False,False,True
317,Active,Plausible,The bellboy erased the message.,The bellboy erased the message.,AI,bellboy,message,erased,False,False,True
318,Active,Plausible,The forger shipped the package.,The package was shipped by the forger.,AI,forger,package,shipped,False,False,True
319,Active,Plausible,The crackhead smoked the pipe.,The crackhead smoked the pipe.,AI,crackhead,pipe,smoked,False,False,True
320,Active,Plausible,The manicurist rescheduled the appointment.,The appointment was rescheduled by the manicurist.,AI,manicurist,appointment,rescheduled,False,False,True
321,Active,Plausible,The charlatan burned the contract.,The charlatan burned the contract.,AI,charlatan,contract,burned,False,False,True
322,Active,Plausible,The tanner placed the order.,The order was placed by the tanner.,AI,tanner,order,placed,False,False,True
323,Active,Plausible,The archaeologist canceled the trip.,The archaeologist canceled the trip.,AI,archaeologist,trip,canceled,False,False,True
324,Active,Plausible,The Frenchman sliced the baguette.,The baguette was sliced by the Frenchman.,AI,Frenchman,baguette,sliced,False,False,True
325,Active,Plausible,The producer cast the actress.,The producer cast the actress.,AAN,producer,actress,cast,False,False,True
326,Active,Plausible,The twins punished the babysitter.,The babysitter punished the twins.,AAN,twins,babysitter,punished,False,False,False
327,Active,Plausible,The exorcist vanquished the spirit.,The spirit was vanquished by the exorcist.,AAN,exorcist,spirit,vanquished,False,False,True
328,Active,Plausible,The barber shaved the man.,The barber shaved the old man.,AAN,barber,man,shaved,False,False,False
329,Active,Plausible,The pararazzi stalked the popstar.,The pop star was stalked by the paparazzi.,AAN,pararazzi,popstar,stalked,False,False,False
330,Active,Plausible,The brunette tipped the busboy.,The brunette tipped the busboy.,AAN,brunette,busboy,tipped,False,False,True
331,Active,Plausible,The roommate adopted the newborn.,The newborn was adopted by the roommate.,AAN,roommate,newborn,adopted,False,False,True
332,Active,Plausible,The cartoonist sketched the unicyclist.,The cartoonist sketched the unicyclist.,AAN,cartoonist,unicyclist,sketched,False,False,True
333,Active,Plausible,The streetwalker undercharged the seaman.,The seaman was undercharged by the streetwalker.,AAN,streetwalker,seaman,undercharged,False,False,True
334,Active,Plausible,The urologist treated the widower.,The urologist treated the widower.,AAN,urologist,widower,treated,False,False,True
335,Active,Plausible,The jury acquitted the economist.,The economist was acquitted by the jury.,AAN,jury,economist,acquitted,False,False,True
336,Active,Plausible,The freshman dodged the bully.,The freshman dodged the bully.,AAN,freshman,bully,dodged,False,False,True
337,Active,Plausible,The nun reproached the hedonist.,The hedonist was reproached by the nun.,AAN,nun,hedonist,reproached,False,False,True
338,Active,Plausible,The librarian admonished the plagiarist.,The librarian admonished the plagiarist.,AAN,librarian,plagiarist,admonished,False,False,True
339,Active,Plausible,The colonel supervised the cadet.,The cadet was supervised by the colonel.,AAN,colonel,cadet,supervised,False,False,True
340,Active,Plausible,The abolitionist hid the slave.,The abolitionist hid the slave.,AAN,abolitionist,slave,hid,False,False,True
341,Active,Plausible,The trainer weighed the Olympian.,The Olympian was weighed by the personal trainer.,AAN,trainer,Olympian,weighed,False,False,False
342,Active,Plausible,The zookeeper fed the giraffe.,The zookeeper fed the giraffe.,AAN,zookeeper,giraffe,fed,False,False,True
343,Active,Plausible,The masseuse relaxed the linebacker.,The linebacker was relaxed by the masseuse.,AAN,masseuse,linebacker,relaxed,False,False,True
344,Active,Plausible,The page obeyed the noble.,The page obeyed the noble.,AAN,page,noble,obeyed,False,False,True
345,Active,Plausible,The lion chased the tour-guide.,The tour-guide was chased by the lion.,AAN,lion,tour-guide,chased,False,False,True
346,Active,Plausible,The caretaker quieted the orphan.,The caretaker quieted the orphan.,AAN,caretaker,orphan,quieted,False,False,True
347,Active,Plausible,The tennis thanked the chiropractor.,The chiropractor was thanked by the tennis player.,AAN,tennis,chiropractor,thanked,False,False,False
348,Active,Plausible,The experimenter recruited the subject.,The experimenter recruited the subject.,AAN,experimenter,subject,recruited,False,False,True
349,Active,Plausible,The mother disciplined the toddler.,The toddler was disciplined by the mother.,AAN,mother,toddler,disciplined,False,False,True
350,Active,Plausible,The assistant expelled the sociopath.,The assistant principal expelled the sociopath.,AAN,assistant,sociopath,expelled,False,False,False
351,Active,Plausible,The channeler sensed the ghost.,The ghost was sensed by the channeler.,AAN,channeler,ghost,sensed,False,False,True
352,Active,Plausible,The union ousted the whistle-blower.,The union ousted the whistle-blower.,AAN,union,whistle-blower,ousted,False,False,True
353,Active,Plausible,The truck honked at the pedestrian.,The pedestrian was honked at by the truck driver.,AAN,truck,the,honked,False,False,False
354,Active,Plausible,The huntsman trapped the deer.,The huntsman trapped the deer.,AAN,huntsman,deer,trapped,False,False,True
355,Active,Plausible,The cardiologist discredited the quack.,The quack was discredited by the cardiologist.,AAN,cardiologist,quack,discredited,False,False,True
356,Active,Plausible,The bailiff released the ruffian.,The bailiff released the ruffian.,AAN,bailiff,ruffian,released,False,False,True
357,Active,Plausible,The shark mauled the snorkeler.,The shark mauled the snorkeler.,AAN,shark,snorkeler,mauled,False,False,True
358,Active,Plausible,The president pardoned the traitor.,The traitor was pardoned by the president.,AAN,president,traitor,pardoned,False,False,True
359,Active,Plausible,The au_pair spanked the girl.,The au pair spanked the girl.,AAN,au_pair,girl,spanked,False,False,False
360,Active,Plausible,The station promoted the newsagent.,The newsagent was promoted by the TV station head.,AAN,station,newsagent,promoted,False,False,False
361,Active,Plausible,The policewoman handcuffed the offender.,The policewoman handcuffed the offender.,AAN,policewoman,offender,handcuffed,False,False,True
362,Active,Plausible,The anthropologist studied the tribesman.,The tribesman was studied by the anthropologist.,AAN,anthropologist,tribesman,studied,False,False,True
363,Active,Plausible,The chief rewarded the firefighter.,The police chief rewarded the firefighter.,AAN,chief,firefighter,rewarded,False,False,False
364,Active,Plausible,The miscreant kidnapped the beneficiary.,The beneficiary was kidnapped by the miscreant.,AAN,miscreant,beneficiary,kidnapped,False,False,True
365,Active,Plausible,The social comforted the abused.,The social worker comforted the abused woman.,AAN,social,abused,comforted,False,False,False
366,Active,Plausible,The neuroscientist overwhelmed the lab.,The neuroscientist overwhelmed the lab assistant.,AAN,neuroscientist,lab,overwhelmed,False,False,False
367,Active,Plausible,The warmonger terrorized the gunsmith.,The gunsmith was terrorized by the warmonger.,AAN,warmonger,gunsmith,terrorized,False,False,True
368,Active,Plausible,The conductor tolerated the violinist.,The conductor tolerated the violinist.,AAR,conductor,violinist,tolerated,False,False,True
369,Active,Plausible,The pitcher signaled the hitter.,The hitter was signaled by the pitcher.,AAR,pitcher,hitter,signaled,False,False,True
370,Active,Plausible,The quarterback kissed the cheerleader.,The quarterback kissed the cheerleader.,AAR,quarterback,cheerleader,kissed,False,False,True
371,Active,Plausible,The camper startled the bear.,The bear was startled by the camper.,AAR,camper,bear,startled,False,False,True
372,Active,Plausible,The admiral accompanied the lieutenant.,The admiral accompanied the lieutenant.,AAR,admiral,lieutenant,accompanied,False,False,True
373,Active,Plausible,The tenor loved the soprano.,The soprano was loved by the tenor.,AAR,tenor,soprano,loved,False,False,True
374,Active,Plausible,The photographer paid the barrister.,The photographer paid the barrister.,AAR,photographer,barrister,paid,False,False,True
375,Active,Plausible,The bachelor intrigued the blonde.,The blonde was intrigued by the bachelor.,AAR,bachelor,blonde,intrigued,False,False,True
376,Active,Plausible,The football pursued the socialite.,The football player pursued the socialite.,AAR,football,socialite,pursued,False,False,False
377,Active,Plausible,The neurologist consulted the geneticist.,The geneticist was consulted by the neurologist.,AAR,neurologist,geneticist,consulted,False,False,True
378,Active,Plausible,The fashionista humiliated the mode.,The fashionista humiliated the mode.,AAR,fashionista,mode,humiliated,False,False,True
379,Active,Plausible,The butcher accused the meatpacker.,The meatpacker was accused by the butcher.,AAR,butcher,meatpacker,accused,False,False,True
380,Active,Plausible,The niece embarrassed the aunt.,The niece embarrassed the aunt.,AAR,niece,aunt,embarrassed,False,False,True
381,Active,Plausible,The warlord hailed the mercenary.,The mercenary was hailed by the warlord.,AAR,warlord,mercenary,hailed,False,False,True
382,Active,Plausible,The neighbor snubbed the newcomer.,The neighbor snubbed the newcomer.,AAR,neighbor,newcomer,snubbed,False,False,True
383,Active,Plausible,The communist offended the capitalist.,The communist offended the capitalist.,AAR,communist,capitalist,offended,False,False,True
384,Active,Plausible,The curator misinformed the sculptor.,The sculptor was misinformed by the curator.,AAR,curator,sculptor,misinformed,False,False,True
385,Active,Plausible,The baker mentioned the miller.,The baker mentioned the miller.,AAR,baker,miller,mentioned,False,False,True
386,Active,Plausible,The pollster shamed the statistician.,The statistician was shamed by the pollster.,AAR,pollster,statistician,shamed,False,False,True
387,Active,Plausible,The screenwriter emailed the actor.,The screenwriter emailed the actor.,AAR,screenwriter,actor,emailed,False,False,True
388,Active,Plausible,The dermatologist contradicted the pathologist.,The pathologist was contradicted by the dermatologist.,AAR,dermatologist,pathologist,contradicted,False,False,True
389,Active,Plausible,The sharecropper misled the fieldworker.,The sharecropper misled the fieldworker.,AAR,sharecropper,fieldworker,misled,False,False,True
390,Active,Plausible,The patriot saluted the veteran.,The veteran was saluted by the patriot.,AAR,patriot,veteran,saluted,False,False,True
391,Active,Plausible,The welder visited the milkman.,The welder visited the milkman.,AAR,welder,milkman,visited,False,False,True
392,Active,Plausible,The teenager mortified the parent.,The parent was mortified by the teenager.,AAR,teenager,parent,mortified,False,False,True
393,Active,Plausible,The surfer impressed the swimmer.,The surfer impressed the swimmer.,AAR,surfer,swimmer,impressed,False,False,True
394,Active,Plausible,The miser antagonized the landlady.,The landlady was antagonized by the miser.,AAR,miser,landlady,antagonized,False,False,True
395,Active,Plausible,The infantryman upset the loyalist.,The infantryman upset the loyalist.,AAR,infantryman,loyalist,upset,False,False,True
396,Active,Plausible,The florist invoiced the grocer.,The grocer was invoiced by the florist.,AAR,florist,grocer,invoiced,False,False,True
397,Active,Plausible,The adjuster harassed the retailer.,The claims adjuster harassed the retailer.,AAR,adjuster,retailer,harassed,False,False,False
398,Active,Plausible,The ex-wife punched the girlfriend.,The girlfriend was punched by the ex-wife.,AAR,ex-wife,girlfriend,punched,False,False,True
399,Active,Plausible,The defender blamed the goalkeeper.,The defender blamed the goalkeeper.,AAR,defender,goalkeeper,blamed,False,False,True
400,Active,Plausible,The geologist reassured the excavator.,The excavator was reassured by the geologist.,AAR,geologist,excavator,reassured,False,False,True
401,Active,Plausible,The physicist nagged the mathematician.,The physicist nagged the mathematician.,AAR,physicist,mathematician,nagged,False,False,True
402,Active,Plausible,The employee watched the embezzler.,The embezzler was watched by the employee.,AAR,employee,embezzler,watched,False,False,True
403,Active,Plausible,The programmer distrusted the volunteer.,The programmer distrusted the volunteer.,AAR,programmer,volunteer,distrusted,False,False,True
404,Active,Plausible,The interviewer befriended the chairman.,The chairman was befriended by the interviewer.,AAR,interviewer,chairman,befriended,False,False,True
405,Active,Plausible,The cinematographer favored the movie.,The cinematographer favored the movie star.,AAR,cinematographer,movie,favored,False,False,False
406,Active,Plausible,The hockey aggravated the skater.,The skater was aggravated by the hockey player.,AAR,hockey,skater,aggravated,False,False,False
407,Active,Plausible,The bricklayer outraged the crane.,The bricklayer outraged the crane operator.,AAR,bricklayer,crane,outraged,False,False,False
408,Active,Plausible,The candidate approved the nominee.,The nominee was approved by the candidate.,AAR,candidate,nominee,approved,False,False,True
409,Active,Plausible,The entomologist disparaged the biologist.,The entomologist disparaged the biologist.,AAR,entomologist,biologist,disparaged,False,False,True
410,Active,Plausible,The hypochondriac hounded the medic.,The medic was hounded by the hypochondriac.,AAR,hypochondriac,medic,hounded,False,False,True
411,Active,Plausible,The chemist suspected the pharmacist.,The chemist suspected the pharmacist.,AAR,chemist,pharmacist,suspected,False,False,True
412,Active,Plausible,The litigator begged the citizen.,The citizen was begged by the litigator.,AAR,litigator,citizen,begged,False,False,True
413,Active,Plausible,The plumber devastated the foreman.,The plumber devastated the foreman.,AAR,plumber,foreman,devastated,False,False,True
414,Active,Plausible,The sergeant identified the sniper.,The sniper was identified by the sergeant.,AAR,sergeant,sniper,identified,False,False,True
415,Active,Plausible,The weightlifter faced the wrestler.,The weightlifter faced the wrestler.,AAR,weightlifter,wrestler,faced,False,True,True
416,Active,Plausible,The bassist bugged the soundman.,The soundman was bugged by the bassist.,AAR,bassist,soundman,bugged,False,True,True
417,Active,Plausible,The clarinetist recognized the trumpeter.,The clarinetist recognized the trumpeter.,AAR,clarinetist,trumpeter,recognized,False,True,True
418,Active,Plausible,The goalie kicked the midfielder.,The midfielder was kicked by the goalie.,AAR,goalie,midfielder,kicked,False,True,True
419,Active,Plausible,The operator acknowledged the astronaut.,The operator acknowledged the astronaut.,AAR,operator,astronaut,acknowledged,False,True,True
420,Active,Plausible,The concierge followed the mover.,The mover was followed by the concierge.,AAR,concierge,mover,followed,False,True,True
421,Active,Plausible,The prosecutor addressed the defense.,The prosecutor addressed the defense lawyer.,AAR,prosecutor,defense,addressed,False,True,False
422,Active,Plausible,The hippie hurried the waiter.,The waiter was hurried by the hippie.,AAR,hippie,waiter,hurried,False,True,True
423,Active,Plausible,The cardinal alienated the deacon.,The cardinal alienated the deacon.,AAR,cardinal,deacon,alienated,False,True,True
424,Active,Plausible,The senior pinched the sophomore.,The sophomore was pinched by the senior.,AAR,senior,sophomore,pinched,False,True,True
425,Active,Plausible,The spy appeased the strategist.,The spy appeased the strategist.,AAR,spy,strategist,appeased,False,True,True
426,Active,Plausible,The tramp sickened the panhandler.,The panhandler was sickened by the tramp.,AAR,tramp,panhandler,sickened,False,True,True
427,Active,Plausible,The healer astonished the monk.,The healer astonished the monk.,AAR,healer,monk,astonished,False,True,True
428,Active,Plausible,The housemaid noted the kleptomaniac.,The kleptomaniac was noted by the housemaid.,AAR,housemaid,kleptomaniac,noted,False,True,True
429,Active,Plausible,The stenographer avoided the typesetter.,The stenographer avoided the typesetter.,AAR,stenographer,typesetter,avoided,False,True,True
430,Active,Plausible,The dairyman overcharged the toymaker.,The toymaker was overcharged by the dairyman.,AAR,dairyman,toymaker,overcharged,False,True,True
431,Active,Plausible,The publisher nominated the novelist.,The novelist was nominated by the publisher.,AAR,publisher,novelist,nominated,False,True,True
432,Active,Plausible,The commissioner bullied the liberal.,The commissioner bullied the liberal.,AAR,commissioner,liberal,bullied,False,True,True
433,Active,Plausible,The veterinarian repaid the watchmaker.,The watchmaker was repaid by the veterinarian.,AAR,veterinarian,watchmaker,repaid,False,True,True
434,Active,Plausible,The philanthropist charmed the bishop.,The philanthropist charmed the bishop.,AAR,philanthropist,bishop,charmed,False,True,True
435,Active,Plausible,The anesthesiologist infuriated the orthopedist.,The orthopedist was infuriated by the anesthesiologist.,AAR,anesthesiologist,orthopedist,infuriated,False,True,True
436,Active,Plausible,The violist distracted the flutist.,The violist distracted the flutist.,AAR,violist,flutist,distracted,False,True,True
437,Active,Plausible,The husband liked the realtor.,The realtor was liked by the husband.,AAR,husband,realtor,liked,False,True,True
438,Active,Plausible,The hotelier distressed the doorman.,The hotelier distressed the doorman.,AAR,hotelier,doorman,distressed,False,True,True
439,Active,Plausible,The cowboy nudged the ranger.,The ranger was nudged by the cowboy.,AAR,cowboy,ranger,nudged,False,True,True
440,Active,Plausible,The bartender disturbed the regular.,The bartender disturbed the regular.,AAR,bartender,regular,disturbed,False,True,True
441,Active,Plausible,The stuntman inspired the boxer.,The boxer was inspired by the stuntman.,AAR,stuntman,boxer,inspired,False,True,True
442,Active,Plausible,The feminist exasperated the polygamist.,The feminist exasperated the polygamist.,AAR,feminist,polygamist,exasperated,False,True,True
443,Active,Plausible,The storyteller saddened the matador.,The matador was saddened by the storyteller.,AAR,storyteller,matador,saddened,False,True,True
444,Active,Plausible,The informer exposed the murderer.,The informer exposed the murderer.,AAR,informer,murderer,exposed,False,True,True
445,Active,Plausible,The bookbinder frustrated the lithographer.,The lithographer was frustrated by the bookbinder.,AAR,bookbinder,lithographer,frustrated,False,True,True
446,Active,Plausible,The newscaster eyed the bullfighter.,The newscaster eyed the bullfighter.,AAR,newscaster,bullfighter,eyed,False,True,True
447,Active,Plausible,The treasurer perplexed the trustee.,The trustee was perplexed by the treasurer.,AAR,treasurer,trustee,perplexed,False,True,True
448,Active,Plausible,The skier fancied the figure-skater.,The skier fancied the figure-skater.,AAR,skier,figure-skater,fancied,False,True,True
449,Active,Plausible,The American hosted the Italian.,The Italian was hosted by the American.,AAR,American,Italian,hosted,False,True,True
450,Active,Plausible,The pilgrim fascinated the rabbi.,The pilgrim fascinated the rabbi.,AAR,pilgrim,rabbi,fascinated,False,True,True
451,Active,Plausible,The lineman running back hit the running back.,The running back was hit by the lineman.,AAR,lineman,hit,running,False,True,False
452,Active,Plausible,The roadworker forgave the barkeeper.,The road worker forgave the barkeeper.,AAR,roadworker,barkeeper,forgave,False,True,False
453,Active,Plausible,The coordinator pleased the spokeswoman.,The spokeswoman was pleased by the coordinator.,AAR,coordinator,spokeswoman,pleased,False,True,True
454,Active,Plausible,The roadworker forgiven the barkeeper.,The barkeeper was forgiven by the road worker.,AAR,roadworker,barkeeper,forgiven,False,True,False
455,Active,Plausible,The venture intimidated the consultant.,The venture capitalist intimidated the consultant.,AAR,venture,consultant,intimidated,False,True,False
456,Active,Plausible,The linguist misquoted the logician.,The linguist misquoted the logician.,AAR,linguist,logician,misquoted,False,True,True
457,Active,Plausible,The host rushed the caterer.,The caterer was rushed by the host.,AAR,host,caterer,rushed,False,True,True
458,Active,Plausible,The saxophonist neglected the organist.,The saxophonist neglected the organist.,AAR,saxophonist,organist,neglected,False,True,True
459,Active,Plausible,The Englishman smacked the Dane.,The Dane was smacked by the Englishman.,AAR,Englishman,Dane,smacked,False,True,True
460,Active,Plausible,The surgeon resented the hospital.,The surgeon resented the hospital administrator.,AAR,surgeon,hospital,resented,False,True,False
461,Active,Plausible,The conman spooked the counterfeiter.,The counterfeiter was spooked by the conman.,AAR,conman,counterfeiter,spooked,False,True,True
462,Active,Plausible,The German teased the Canadian.,The German teased the Canadian.,AAR,German,Canadian,teased,False,True,True
463,Active,Plausible,The illustrator awaited the censor.,The censor was awaited by the illustrator.,AAR,illustrator,censor,awaited,False,True,True
464,Active,Plausible,The user dared the webmaster.,The user dared the webmaster.,AAR,user,webmaster,dared,False,True,True
465,Active,Plausible,The bride tickled the groom.,The groom was tickled by the bride.,AAR,bride,groom,tickled,False,True,True
466,Active,Plausible,The spokesman troubled the extremist.,The spokesman troubled the extremist.,AAR,spokesman,extremist,troubled,False,True,True
467,Active,Plausible,The herder invited the blacksmith.,The blacksmith was invited by the herder.,AAR,herder,blacksmith,invited,False,True,True
468,Active,Plausible,The optometrist valued the pediatrician.,The optometrist valued the pediatrician.,AAR,optometrist,pediatrician,valued,False,True,True
469,Active,Plausible,The toolmaker infected the yardman.,The yardman was infected by the toolmaker.,AAR,toolmaker,yardman,infected,False,True,True
470,Active,Plausible,The juggler astounded the hypnotist.,The juggler astounded the hypnotist.,AAR,juggler,hypnotist,astounded,False,True,True
